timestamp,question_1,question_2,question_3,question_4,question_5,is_relevant,object,is_positive
12,2024-04-06 14:09:39,ChatGPT для обучения,"Не совсем понял, как использовать ChatGPT в обучении.","Да, было сложно понять, как использовать.","Объяснить, как использовать ChatGPT в обучении.",Использование ChatGPT в обучении.,1,0,0
13,2024-04-02 09:00:00,Основы программирования,"Лектор хорошо объяснял материал, но было слишком много терминов","Да, из-за большого количества терминов было сложно понять некоторые аспекты","Возможно, стоит объяснить некоторые термины более подробно",Изучение основ программирования с нуля,1,1,0
14,2024-04-03 16:30:00,Новейшие тенденции в IT,"Интересная тема, но не хватило практических примеров","Да, не было практических примеров, чтобы лучше понять тему",Добавить больше практических примеров для лучшего понимания,Примеры использования облачных вычислений в бизнесе,1,2,0
15,2024-04-05 12:00:00,Продвинутые техники программирования,"Интересная тема, но было сложно понять некоторые моменты","Да, некоторые моменты были сложными для понимания",Более подробно объяснить сложные моменты,Изучение продвинутых техник программирования,1,1,0
16,2024-04-06 10:30:00,Управление персоналом,"Интересная тема, но было мало практических советов","Да, было мало практических советов по управлению персоналом",Добавить больше практических советов по управлению персоналом,Изучение методов управления персоналом,1,1,0
17,2024-04-05 10:30:00,Java api браузеров,Обсуждение Java API для взаимодействия с браузерами было информативным.,Нет.,Предоставить дополнительные примеры использования API в реальных проектах.,Автоматизация тестирования веб-приложений.,1,1,0
18,2024-04-07 15:00:00,Управление персоналом,Вебинар о методах управления персоналом был скучным и малоинформативным.,"Да, не все темы были разобраны достаточно глубоко.",Увеличить количество практических примеров и кейсов из реальной жизни.,Эффективное мотивирование сотрудников.,1,0,0
19,2024-04-02 09:00:00,Java api браузеров,"Интересная тема, но преподаватель затягивал рассказ.","Да, сложно было следить за лекцией.",Сократить объем теоретического материала и добавить больше интерактивных заданий.,Работа с DOM в Java.,1,2,0
20,2024-04-03 13:45:00,Основы программирования,"Материал был слишком простым для меня, я ожидал более глубокого погружения.",Нет.,Увеличить сложность заданий и добавить дополнительные концепции.,Рекурсия в программировании.,1,0,0
21,2024-04-07 10:00:00,Знакомство с языком Python,Лектор был не очень четким в изложении материала.,"Да, некоторые объяснения были запутанными.",Провести более подробное введение в основные концепции языка.,Итераторы и генераторы в Python.,1,2,0
22,2024-04-01 17:30:00,Java api браузеров,"Тема была интересной, но лектор много отвлекался на побочные разговоры.","Да, сложно было сконцентрироваться.",Повысить концентрацию на основной теме и сократить количество разговоров не по теме.,Автоматизация тестирования веб-приложений.,1,2,0
23,2024-04-03 14:30:00,Продвинутые техники программирования,Ожидал большего количества практических примеров.,"Да, не хватало конкретных кейсов.",Добавить больше практических заданий для закрепления изученного материала.,Многопоточное программирование.,1,1,0
24,2024-04-04 12:00:00,Java api браузеров,"Лектор говорил слишком быстро, иногда трудно было уловить смысл.","Да, скорость речи была вызовом для понимания.",Замедлить темп рассказа и предоставить больше времени на усвоение материала.,Манипуляция с элементами веб-страницы.,1,2,0
25,2024-04-07 16:30:00,Управление персоналом,"Тема была интересной, но преподаватель плохо объяснял ключевые концепции.","Да, некоторые моменты оставались непонятными.",Улучшить структуру лекции и объяснять материал более понятно.,Методы оценки персонала.,1,2,0
26,2024-04-06 11:15:00,Управление персоналом,"Время начала вебинара неудобное, многие не успевали.","Да, некоторые участники опаздывали.",Изменить время проведения вебинара на более удобное для участников.,Управление конфликтами в коллективе.,1,1,0
27,2024-04-06 09:00:00,Основы программирования,Лектор не обладал достаточной экспертизой в теме.,"Да, многие вопросы оставались без ответа.",Найти лектора с большим опытом и глубокими знаниями в области программирования.,Структуры данных и алгоритмы.,1,2,0
28,2024-04-05 13:00:00,Продвинутые техники программирования,"Материал был слишком сложным для меня, я не смог уловить большую часть изложенного.","Да, тема оказалась выше моего уровня знаний.",Упростить материал и начать с более базовых концепций.,Монады в функциональном программировании.,1,0,0
29,2024-04-01 14:30:00,Знакомство с языком Python,Преподаватель был скучным и неудачно пытался оживить лекцию.,"Да, лекция была монотонной и неинтересной.",Сделать лекцию более интересной и динамичной.,Работа с файлами в Python.,1,2,0
30,2024-04-04 15:30:00,Продвинутые техники программирования,"Лектор говорил слишком тихо, его было сложно слышать.","Да, звук был проблемой на вебинаре.",Обеспечить качественный звук и громкость лектора.,Паттерны проектирования.,1,1,0
31,2024-04-03 10:00:00,ChatGPT для обучения,Не все вопросы были корректно раскрыты и объяснены.,"Да, некоторые ответы были поверхностными.",Провести более подробное и глубокое объяснение вопросов.,Тренировка чатботов для образовательных целей.,1,0,0
32,2024-04-05 18:00:00,Управление персоналом,"Лекция была скучной и неинтересной, я мало что запомнил.","Да, не хватало динамики и интересных примеров.",Сделать лекцию более интерактивной и привлекательной.,Мотивация и поощрение сотрудников.,1,0,0
33,2024-04-07 12:30:00,Java api браузеров,"Тема была интересной, но лектор говорил слишком быстро.","Да, сложно было уловить основные моменты.",Замедлить темп рассказа и дать больше времени на усвоение материала.,Интерактивное взаимодействие с веб-страницами.,1,1,0
34,2024-04-06 16:00:00,Управление персоналом,Некоторые темы были неудачно выбраны и не были связаны с управлением персоналом.,"Да, лекция была неструктурированной и непонятной.",Выбирать более подходящие темы и делать лекцию более структурированной.,Методы коммуникации в коллективе.,1,1,0
35,2024-04-02 14:00:00,Java api браузеров,"Лектор слишком быстро переходил от одной темы к другой, это было запутывающе.","Да, сложно было следить за лекцией.",Улучшить структуру и последовательность изложения материала.,Взаимодействие с HTTP запросами в Java.,1,1,0
36,2024-04-04 09:30:00,Продвинутые техники программирования,"Тема была интересной, но лектор часто отвлекался на второстепенные детали.","Да, это мешало пониманию главного.",Сосредоточиться на ключевых аспектах темы и уменьшить количество отвлекающих деталей.,Оптимизация кода и производительность.,1,2,0
37,2024-04-05 11:30:00,Знакомство с языком Python,Преподаватель мало общался с участниками и не отвечал на вопросы.,"Да, взаимодействие с аудиторией было недостаточным.",Больше включать участников в обсуждение и активнее отвечать на вопросы.,Работа с модулем requests в Python.,1,2,0
38,2024-04-07 09:00:00,Управление персоналом,"Время начала вебинара было неудобным для меня, я опоздал на половину.","Да, неудачное время начала вебинара.",Изменить время начала вебинара на более удобное.,Развитие навыков лидерства.,1,1,0
39,2024-04-06 10:45:00,Основы программирования,"Тема была слишком простой, я ожидал более глубокого погружения.","Да, материал был элементарным.",Увеличить сложность материала и добавить более продвинутые концепции.,Работа с массивами в программировании.,1,0,0
40,2024-04-08 10:00:00,Новейшие тенденции в IT,Понравилась дискуссия о будущем ИТ.,"Да, когда лектор сказал, что не знает ответа на вопрос.",Добавить больше примеров из жизни.,Как ИТ влияет на общество.,1,2,0
41,2024-04-03 15:30:00,Java api браузеров,Понравилась тема о безопасности браузеров.,"Да, когда лектор начал говорить о политике.",Добавить больше теории.,Как создать безопасный браузер.,1,1,0
42,2024-04-05 12:00:00,Продвинутые техники программирования,"Понравилось, как лектор объяснил паттерны.","Да, когда лектор сказал, что не помнит формулу.",Добавить больше практики.,Как применять паттерны в реальной жизни.,1,1,0
43,2024-04-01 14:00:00,Управление персоналом,"Понравилось, как лектор рассказал о мотивации.","Да, когда лектор начал говорить о своих проблемах.",Добавить больше примеров из жизни.,Как мотивировать сотрудников.,1,1,0
44,2024-04-06 16:00:00,ChatGPT для обучения,"Понравилось, как лектор объяснил работу GPT.","Да, когда лектор сказал, что не знает ответа на вопрос.",Добавить больше теории.,Как использовать GPT в образовании.,1,0,0
45,2024-04-02 12:00:00,Основы программирования,"Понравилось, как лектор объяснил работу с классами.","Да, когда лектор начал говорить о наследовании.",Добавить больше примеров кода.,Как создать класс в C#.,1,2,0
46,2024-04-07 14:00:00,Знакомство с языком Python,"Понравилось, как лектор объяснил работу с функциями.","Да, когда лектор сказал, что не помнит синтаксис.",Добавить больше практики.,Как создать функцию в Python.,1,2,0
47,2024-04-03 10:00:00,Java api браузеров,Понравилась тема о безопасности браузеров.,"Да, когда лектор начал говорить о политике.",Добавить больше теории.,Как создать безопасный браузер.,1,1,0
48,2024-04-05 16:00:00,Новейшие тенденции в IT,Понравилась дискуссия о будущем ИТ.,"Да, когда лектор сказал, что не знает ответа на вопрос.",Добавить больше примеров из жизни.,Как ИТ влияет на общество.,1,2,0
49,2024-04-04 10:00:00,Продвинутые техники программирования,"Понравилось, как лектор объяснил работу с интерфейсами.","Да, когда лектор сказал, что не помнит синтаксис.",Добавить больше практики.,Как использовать интерфейсы в программировании.,1,1,0
50,2024-04-06 14:00:00,Управление персоналом,"Понравилось, как лектор рассказал о лидерстве.","Да, когда лектор начал говорить о своих проблемах.",Добавить больше примеров из жизни.,Как стать лидером.,1,1,0
